id,date,name_GP,surname,name,grid,target,AirTemp,Humidity,Rainfall
23782,2018,Australian Grand Prix,Vettel,Ferrari,3,1,24.08,30.92,0.05
23783,2018,Australian Grand Prix,Hamilton,Mercedes,1,2,24.08,30.92,0.05
23784,2018,Australian Grand Prix,Räikkönen,Ferrari,2,3,24.08,30.92,0.05
23785,2018,Australian Grand Prix,Ricciardo,Red Bull,8,4,24.08,30.92,0.05
23786,2018,Australian Grand Prix,Alonso,McLaren,10,5,24.08,30.92,0.05
23787,2018,Australian Grand Prix,Verstappen,Red Bull,4,6,24.08,30.92,0.05
23788,2018,Australian Grand Prix,Hülkenberg,Renault,7,7,24.08,30.92,0.05
23789,2018,Australian Grand Prix,Bottas,Mercedes,15,8,24.08,30.92,0.05
23790,2018,Australian Grand Prix,Vandoorne,McLaren,11,9,24.08,30.92,0.05
23791,2018,Australian Grand Prix,Sainz,Renault,9,10,24.08,30.92,0.05
23792,2018,Australian Grand Prix,Pérez,Force India,12,11,24.08,30.92,0.05
23793,2018,Australian Grand Prix,Ocon,Force India,14,12,24.08,30.92,0.05
23794,2018,Australian Grand Prix,Leclerc,Sauber,18,13,24.08,30.92,0.05
23795,2018,Australian Grand Prix,Stroll,Williams,13,14,24.08,30.92,0.05
23802,2018,Bahrain Grand Prix,Vettel,Ferrari,1,1,27.98,47.36,0.0
23803,2018,Bahrain Grand Prix,Bottas,Mercedes,3,2,27.98,47.36,0.0
23804,2018,Bahrain Grand Prix,Hamilton,Mercedes,9,3,27.98,47.36,0.0
23805,2018,Bahrain Grand Prix,Gasly,Toro Rosso,5,4,27.98,47.36,0.0
23806,2018,Bahrain Grand Prix,Magnussen,Haas F1 Team,6,5,27.98,47.36,0.0
23807,2018,Bahrain Grand Prix,Hülkenberg,Renault,7,6,27.98,47.36,0.0
23822,2018,Chinese Grand Prix,Ricciardo,Red Bull,6,1,19.45,24.09,0.02
23823,2018,Chinese Grand Prix,Bottas,Mercedes,3,2,19.45,24.09,0.02
23824,2018,Chinese Grand Prix,Räikkönen,Ferrari,2,3,19.45,24.09,0.02
23825,2018,Chinese Grand Prix,Hamilton,Mercedes,4,4,19.45,24.09,0.02
23826,2018,Chinese Grand Prix,Verstappen,Red Bull,5,5,19.45,24.09,0.02
23827,2018,Chinese Grand Prix,Hülkenberg,Renault,7,6,19.45,24.09,0.02
23828,2018,Chinese Grand Prix,Alonso,McLaren,13,7,19.45,24.09,0.02
23829,2018,Chinese Grand Prix,Vettel,Ferrari,1,8,19.45,24.09,0.02
23830,2018,Chinese Grand Prix,Sainz,Renault,9,9,19.45,24.09,0.02
23831,2018,Chinese Grand Prix,Magnussen,Haas F1 Team,11,10,19.45,24.09,0.02
23832,2018,Chinese Grand Prix,Ocon,Force India,12,11,19.45,24.09,0.02
23833,2018,Chinese Grand Prix,Pérez,Force India,8,12,19.45,24.09,0.02
23834,2018,Chinese Grand Prix,Vandoorne,McLaren,14,13,19.45,24.09,0.02
23835,2018,Chinese Grand Prix,Stroll,Williams,18,14,19.45,24.09,0.02
23836,2018,Chinese Grand Prix,Sirotkin,Williams,16,15,19.45,24.09,0.02
23837,2018,Chinese Grand Prix,Ericsson,Sauber,20,16,19.45,24.09,0.02
23838,2018,Chinese Grand Prix,Grosjean,Haas F1 Team,10,17,19.45,24.09,0.02
23839,2018,Chinese Grand Prix,Gasly,Toro Rosso,17,18,19.45,24.09,0.02
23840,2018,Chinese Grand Prix,Leclerc,Sauber,19,19,19.45,24.09,0.02
23842,2018,Azerbaijan Grand Prix,Hamilton,Mercedes,2,1,16.66,45.65,0.0
23843,2018,Azerbaijan Grand Prix,Räikkönen,Ferrari,6,2,16.66,45.65,0.0
23844,2018,Azerbaijan Grand Prix,Pérez,Force India,8,3,16.66,45.65,0.0
23845,2018,Azerbaijan Grand Prix,Vettel,Ferrari,1,4,16.66,45.65,0.0
23846,2018,Azerbaijan Grand Prix,Sainz,Renault,9,5,16.66,45.65,0.0
23847,2018,Azerbaijan Grand Prix,Leclerc,Sauber,13,6,16.66,45.65,0.0
23848,2018,Azerbaijan Grand Prix,Alonso,McLaren,12,7,16.66,45.65,0.0
23849,2018,Azerbaijan Grand Prix,Stroll,Williams,10,8,16.66,45.65,0.0
23850,2018,Azerbaijan Grand Prix,Vandoorne,McLaren,16,9,16.66,45.65,0.0
23851,2018,Azerbaijan Grand Prix,Hartley,Toro Rosso,19,10,16.66,45.65,0.0
23852,2018,Azerbaijan Grand Prix,Ericsson,Sauber,18,11,16.66,45.65,0.0
23853,2018,Azerbaijan Grand Prix,Gasly,Toro Rosso,17,12,16.66,45.65,0.0
23854,2018,Azerbaijan Grand Prix,Magnussen,Haas F1 Team,15,13,16.66,45.65,0.0
23862,2018,Spanish Grand Prix,Hamilton,Mercedes,1,1,16.05,52.29,0.79
23863,2018,Spanish Grand Prix,Bottas,Mercedes,2,2,16.05,52.29,0.79
23864,2018,Spanish Grand Prix,Verstappen,Red Bull,5,3,16.05,52.29,0.79
23865,2018,Spanish Grand Prix,Vettel,Ferrari,3,4,16.05,52.29,0.79
23866,2018,Spanish Grand Prix,Ricciardo,Red Bull,6,5,16.05,52.29,0.79
23882,2018,Monaco Grand Prix,Ricciardo,Red Bull,1,1,26.64,50.89,0.12
23883,2018,Monaco Grand Prix,Vettel,Ferrari,2,2,26.64,50.89,0.12
23884,2018,Monaco Grand Prix,Hamilton,Mercedes,3,3,26.64,50.89,0.12
23885,2018,Monaco Grand Prix,Räikkönen,Ferrari,4,4,26.64,50.89,0.12
23886,2018,Monaco Grand Prix,Bottas,Mercedes,5,5,26.64,50.89,0.12
23887,2018,Monaco Grand Prix,Ocon,Force India,6,6,26.64,50.89,0.12
23888,2018,Monaco Grand Prix,Gasly,Toro Rosso,10,7,26.64,50.89,0.12
23889,2018,Monaco Grand Prix,Hülkenberg,Renault,11,8,26.64,50.89,0.12
23890,2018,Monaco Grand Prix,Verstappen,Red Bull,20,9,26.64,50.89,0.12
23891,2018,Monaco Grand Prix,Sainz,Renault,8,10,26.64,50.89,0.12
23892,2018,Monaco Grand Prix,Ericsson,Sauber,16,11,26.64,50.89,0.12
23893,2018,Monaco Grand Prix,Pérez,Force India,9,12,26.64,50.89,0.12
23894,2018,Monaco Grand Prix,Magnussen,Haas F1 Team,19,13,26.64,50.89,0.12
23902,2018,Canadian Grand Prix,Vettel,Ferrari,1,1,20.52,27.83,0.0
23903,2018,Canadian Grand Prix,Bottas,Mercedes,2,2,20.52,27.83,0.0
23904,2018,Canadian Grand Prix,Verstappen,Red Bull,3,3,20.52,27.83,0.0
23905,2018,Canadian Grand Prix,Ricciardo,Red Bull,6,4,20.52,27.83,0.0
23906,2018,Canadian Grand Prix,Hamilton,Mercedes,4,5,20.52,27.83,0.0
23907,2018,Canadian Grand Prix,Räikkönen,Ferrari,5,6,20.52,27.83,0.0
23922,2018,French Grand Prix,Hamilton,Mercedes,1,1,24.55,49.05,0.01
23923,2018,French Grand Prix,Verstappen,Red Bull,4,2,24.55,49.05,0.01
23924,2018,French Grand Prix,Räikkönen,Ferrari,6,3,24.55,49.05,0.01
23925,2018,French Grand Prix,Ricciardo,Red Bull,5,4,24.55,49.05,0.01
23926,2018,French Grand Prix,Vettel,Ferrari,3,5,24.55,49.05,0.01
23927,2018,French Grand Prix,Magnussen,Haas F1 Team,9,6,24.55,49.05,0.01
23928,2018,French Grand Prix,Bottas,Mercedes,2,7,24.55,49.05,0.01
23929,2018,French Grand Prix,Sainz,Renault,7,8,24.55,49.05,0.01
23930,2018,French Grand Prix,Hülkenberg,Renault,12,9,24.55,49.05,0.01
23931,2018,French Grand Prix,Leclerc,Sauber,8,10,24.55,49.05,0.01
23942,2018,Austrian Grand Prix,Verstappen,Red Bull,4,1,23.18,37.14,0.0
23943,2018,Austrian Grand Prix,Räikkönen,Ferrari,3,2,23.18,37.14,0.0
23944,2018,Austrian Grand Prix,Vettel,Ferrari,6,3,23.18,37.14,0.0
23962,2018,British Grand Prix,Vettel,Ferrari,2,1,27.43,38.74,0.0
23963,2018,British Grand Prix,Hamilton,Mercedes,1,2,27.43,38.74,0.0
23964,2018,British Grand Prix,Räikkönen,Ferrari,3,3,27.43,38.74,0.0
23965,2018,British Grand Prix,Bottas,Mercedes,4,4,27.43,38.74,0.0
23966,2018,British Grand Prix,Ricciardo,Red Bull,6,5,27.43,38.74,0.0
23967,2018,British Grand Prix,Hülkenberg,Renault,11,6,27.43,38.74,0.0
23968,2018,British Grand Prix,Ocon,Force India,10,7,27.43,38.74,0.0
23969,2018,British Grand Prix,Alonso,McLaren,13,8,27.43,38.74,0.0
23970,2018,British Grand Prix,Magnussen,Haas F1 Team,7,9,27.43,38.74,0.0
23971,2018,British Grand Prix,Pérez,Force India,12,10,27.43,38.74,0.0
23972,2018,British Grand Prix,Vandoorne,McLaren,17,11,27.43,38.74,0.0
23973,2018,British Grand Prix,Stroll,Williams,19,12,27.43,38.74,0.0
23974,2018,British Grand Prix,Gasly,Toro Rosso,14,13,27.43,38.74,0.0
23975,2018,British Grand Prix,Sirotkin,Williams,18,14,27.43,38.74,0.0
23983,2018,German Grand Prix,Hamilton,Mercedes,14,1,26.4,54.81,0.26
23984,2018,German Grand Prix,Bottas,Mercedes,2,2,26.4,54.81,0.26
23985,2018,German Grand Prix,Räikkönen,Ferrari,3,3,26.4,54.81,0.26
23986,2018,German Grand Prix,Verstappen,Red Bull,4,4,26.4,54.81,0.26
23987,2018,German Grand Prix,Hülkenberg,Renault,7,5,26.4,54.81,0.26
23988,2018,German Grand Prix,Grosjean,Haas F1 Team,6,6,26.4,54.81,0.26
23989,2018,German Grand Prix,Pérez,Force India,10,7,26.4,54.81,0.26
23990,2018,German Grand Prix,Ocon,Force India,15,8,26.4,54.81,0.26
23991,2018,German Grand Prix,Ericsson,Sauber,13,9,26.4,54.81,0.26
23992,2018,German Grand Prix,Hartley,Toro Rosso,17,10,26.4,54.81,0.26
23993,2018,German Grand Prix,Magnussen,Haas F1 Team,5,11,26.4,54.81,0.26
23994,2018,German Grand Prix,Sainz,Renault,8,12,26.4,54.81,0.26
23995,2018,German Grand Prix,Vandoorne,McLaren,19,13,26.4,54.81,0.26
24003,2018,Hungarian Grand Prix,Hamilton,Mercedes,1,1,33.76,33.01,0.0
24004,2018,Hungarian Grand Prix,Vettel,Ferrari,4,2,33.76,33.01,0.0
24005,2018,Hungarian Grand Prix,Räikkönen,Ferrari,3,3,33.76,33.01,0.0
24006,2018,Hungarian Grand Prix,Ricciardo,Red Bull,12,4,33.76,33.01,0.0
24007,2018,Hungarian Grand Prix,Bottas,Mercedes,2,5,33.76,33.01,0.0
24008,2018,Hungarian Grand Prix,Gasly,Toro Rosso,6,6,33.76,33.01,0.0
24023,2018,Belgian Grand Prix,Vettel,Ferrari,2,1,17.33,37.7,0.0
24024,2018,Belgian Grand Prix,Hamilton,Mercedes,1,2,17.33,37.7,0.0
24025,2018,Belgian Grand Prix,Verstappen,Red Bull,7,3,17.33,37.7,0.0
24026,2018,Belgian Grand Prix,Bottas,Mercedes,19,4,17.33,37.7,0.0
24027,2018,Belgian Grand Prix,Pérez,Force India,4,5,17.33,37.7,0.0
24028,2018,Belgian Grand Prix,Ocon,Force India,3,6,17.33,37.7,0.0
24029,2018,Belgian Grand Prix,Grosjean,Haas F1 Team,5,7,17.33,37.7,0.0
24030,2018,Belgian Grand Prix,Magnussen,Haas F1 Team,9,8,17.33,37.7,0.0
24031,2018,Belgian Grand Prix,Gasly,Toro Rosso,10,9,17.33,37.7,0.0
24043,2018,Italian Grand Prix,Hamilton,Mercedes,3,1,22.19,63.81,0.23
24044,2018,Italian Grand Prix,Räikkönen,Ferrari,1,2,22.19,63.81,0.23
24045,2018,Italian Grand Prix,Bottas,Mercedes,4,3,22.19,63.81,0.23
24046,2018,Italian Grand Prix,Vettel,Ferrari,2,4,22.19,63.81,0.23
24047,2018,Italian Grand Prix,Verstappen,Red Bull,5,5,22.19,63.81,0.23
24048,2018,Italian Grand Prix,Ocon,Force India,8,6,22.19,63.81,0.23
24049,2018,Italian Grand Prix,Pérez,Force India,14,7,22.19,63.81,0.23
24050,2018,Italian Grand Prix,Sainz,Renault,7,8,22.19,63.81,0.23
24063,2018,Singapore Grand Prix,Hamilton,Mercedes,1,1,29.87,66.04,0.0
24064,2018,Singapore Grand Prix,Verstappen,Red Bull,2,2,29.87,66.04,0.0
24065,2018,Singapore Grand Prix,Vettel,Ferrari,3,3,29.87,66.04,0.0
24066,2018,Singapore Grand Prix,Bottas,Mercedes,4,4,29.87,66.04,0.0
24067,2018,Singapore Grand Prix,Räikkönen,Ferrari,5,5,29.87,66.04,0.0
24068,2018,Singapore Grand Prix,Ricciardo,Red Bull,6,6,29.87,66.04,0.0
24069,2018,Singapore Grand Prix,Alonso,McLaren,11,7,29.87,66.04,0.0
24083,2018,Russian Grand Prix,Hamilton,Mercedes,2,1,24.78,61.31,0.02
24084,2018,Russian Grand Prix,Bottas,Mercedes,1,2,24.78,61.31,0.02
24085,2018,Russian Grand Prix,Vettel,Ferrari,3,3,24.78,61.31,0.02
24086,2018,Russian Grand Prix,Räikkönen,Ferrari,4,4,24.78,61.31,0.02
24087,2018,Russian Grand Prix,Verstappen,Red Bull,19,5,24.78,61.31,0.02
24088,2018,Russian Grand Prix,Ricciardo,Red Bull,18,6,24.78,61.31,0.02
24089,2018,Russian Grand Prix,Leclerc,Sauber,7,7,24.78,61.31,0.02
24103,2018,Japanese Grand Prix,Hamilton,Mercedes,1,1,28.26,50.52,0.0
24104,2018,Japanese Grand Prix,Bottas,Mercedes,2,2,28.26,50.52,0.0
24105,2018,Japanese Grand Prix,Verstappen,Red Bull,3,3,28.26,50.52,0.0
24106,2018,Japanese Grand Prix,Ricciardo,Red Bull,15,4,28.26,50.52,0.0
24107,2018,Japanese Grand Prix,Räikkönen,Ferrari,4,5,28.26,50.52,0.0
24108,2018,Japanese Grand Prix,Vettel,Ferrari,8,6,28.26,50.52,0.0
24109,2018,Japanese Grand Prix,Pérez,Force India,9,7,28.26,50.52,0.0
24110,2018,Japanese Grand Prix,Grosjean,Haas F1 Team,5,8,28.26,50.52,0.0
24111,2018,Japanese Grand Prix,Ocon,Force India,11,9,28.26,50.52,0.0
24123,2018,United States Grand Prix,Räikkönen,Ferrari,2,1,21.93,37.56,0.0
24124,2018,United States Grand Prix,Verstappen,Red Bull,18,2,21.93,37.56,0.0
24125,2018,United States Grand Prix,Hamilton,Mercedes,1,3,21.93,37.56,0.0
24126,2018,United States Grand Prix,Vettel,Ferrari,5,4,21.93,37.56,0.0
24127,2018,United States Grand Prix,Bottas,Mercedes,3,5,21.93,37.56,0.0
24128,2018,United States Grand Prix,Hülkenberg,Renault,7,6,21.93,37.56,0.0
24129,2018,United States Grand Prix,Sainz,Renault,11,7,21.93,37.56,0.0
24130,2018,United States Grand Prix,Pérez,Force India,10,8,21.93,37.56,0.0
24143,2018,Mexican Grand Prix,Verstappen,Red Bull,2,1,20.12,50.71,0.0
24144,2018,Mexican Grand Prix,Vettel,Ferrari,4,2,20.12,50.71,0.0
24145,2018,Mexican Grand Prix,Räikkönen,Ferrari,6,3,20.12,50.71,0.0
24146,2018,Mexican Grand Prix,Hamilton,Mercedes,3,4,20.12,50.71,0.0
24163,2018,Brazilian Grand Prix,Hamilton,Mercedes,1,1,23.77,75.41,0.0
24164,2018,Brazilian Grand Prix,Verstappen,Red Bull,5,2,23.77,75.41,0.0
24165,2018,Brazilian Grand Prix,Räikkönen,Ferrari,4,3,23.77,75.41,0.0
24166,2018,Brazilian Grand Prix,Ricciardo,Red Bull,11,4,23.77,75.41,0.0
24167,2018,Brazilian Grand Prix,Bottas,Mercedes,3,5,23.77,75.41,0.0
24168,2018,Brazilian Grand Prix,Vettel,Ferrari,2,6,23.77,75.41,0.0
24169,2018,Brazilian Grand Prix,Leclerc,Sauber,7,7,23.77,75.41,0.0
24170,2018,Brazilian Grand Prix,Grosjean,Haas F1 Team,8,8,23.77,75.41,0.0
24171,2018,Brazilian Grand Prix,Magnussen,Haas F1 Team,10,9,23.77,75.41,0.0
24183,2018,Abu Dhabi Grand Prix,Hamilton,Mercedes,1,1,31.27,45.44,0.04
24184,2018,Abu Dhabi Grand Prix,Vettel,Ferrari,3,2,31.27,45.44,0.04
24185,2018,Abu Dhabi Grand Prix,Verstappen,Red Bull,6,3,31.27,45.44,0.04
24186,2018,Abu Dhabi Grand Prix,Ricciardo,Red Bull,5,4,31.27,45.44,0.04
24187,2018,Abu Dhabi Grand Prix,Bottas,Mercedes,2,5,31.27,45.44,0.04
24188,2018,Abu Dhabi Grand Prix,Sainz,Renault,11,6,31.27,45.44,0.04
24189,2018,Abu Dhabi Grand Prix,Leclerc,Sauber,8,7,31.27,45.44,0.04
24190,2018,Abu Dhabi Grand Prix,Pérez,Force India,14,8,31.27,45.44,0.04
24203,2019,Australian Grand Prix,Bottas,Mercedes,2,1,23.48,70.45,0.0
24204,2019,Australian Grand Prix,Hamilton,Mercedes,1,2,23.48,70.45,0.0
24205,2019,Australian Grand Prix,Verstappen,Red Bull,4,3,23.48,70.45,0.0
24206,2019,Australian Grand Prix,Vettel,Ferrari,3,4,23.48,70.45,0.0
24207,2019,Australian Grand Prix,Leclerc,Ferrari,5,5,23.48,70.45,0.0
24208,2019,Australian Grand Prix,Magnussen,Haas F1 Team,7,6,23.48,70.45,0.0
24223,2019,Bahrain Grand Prix,Hamilton,Mercedes,3,1,26.21,53.37,0.0
24224,2019,Bahrain Grand Prix,Bottas,Mercedes,4,2,26.21,53.37,0.0
24225,2019,Bahrain Grand Prix,Leclerc,Ferrari,1,3,26.21,53.37,0.0
24226,2019,Bahrain Grand Prix,Verstappen,Red Bull,5,4,26.21,53.37,0.0
24227,2019,Bahrain Grand Prix,Vettel,Ferrari,2,5,26.21,53.37,0.0
24228,2019,Bahrain Grand Prix,Norris,McLaren,9,6,26.21,53.37,0.0
24229,2019,Bahrain Grand Prix,Räikkönen,Alfa Romeo,8,7,26.21,53.37,0.0
24230,2019,Bahrain Grand Prix,Gasly,Red Bull,13,8,26.21,53.37,0.0
24231,2019,Bahrain Grand Prix,Albon,Toro Rosso,12,9,26.21,53.37,0.0
24232,2019,Bahrain Grand Prix,Pérez,Racing Point,14,10,26.21,53.37,0.0
24233,2019,Bahrain Grand Prix,Giovinazzi,Alfa Romeo,16,11,26.21,53.37,0.0
24243,2019,Chinese Grand Prix,Hamilton,Mercedes,2,1,19.33,45.98,0.0
24244,2019,Chinese Grand Prix,Bottas,Mercedes,1,2,19.33,45.98,0.0
24245,2019,Chinese Grand Prix,Vettel,Ferrari,3,3,19.33,45.98,0.0
24246,2019,Chinese Grand Prix,Verstappen,Red Bull,5,4,19.33,45.98,0.0
24247,2019,Chinese Grand Prix,Leclerc,Ferrari,4,5,19.33,45.98,0.0
24248,2019,Chinese Grand Prix,Gasly,Red Bull,6,6,19.33,45.98,0.0
24263,2019,Azerbaijan Grand Prix,Bottas,Mercedes,1,1,19.76,51.41,0.0
24264,2019,Azerbaijan Grand Prix,Hamilton,Mercedes,2,2,19.76,51.41,0.0
24265,2019,Azerbaijan Grand Prix,Vettel,Ferrari,3,3,19.76,51.41,0.0
24266,2019,Azerbaijan Grand Prix,Verstappen,Red Bull,4,4,19.76,51.41,0.0
24267,2019,Azerbaijan Grand Prix,Leclerc,Ferrari,8,5,19.76,51.41,0.0
24268,2019,Azerbaijan Grand Prix,Pérez,Racing Point,5,6,19.76,51.41,0.0
24269,2019,Azerbaijan Grand Prix,Sainz,McLaren,9,7,19.76,51.41,0.0
24270,2019,Azerbaijan Grand Prix,Norris,McLaren,7,8,19.76,51.41,0.0
24271,2019,Azerbaijan Grand Prix,Stroll,Racing Point,13,9,19.76,51.41,0.0
24283,2019,Spanish Grand Prix,Hamilton,Mercedes,2,1,20.15,54.72,0.0
24284,2019,Spanish Grand Prix,Bottas,Mercedes,1,2,20.15,54.72,0.0
24285,2019,Spanish Grand Prix,Verstappen,Red Bull,4,3,20.15,54.72,0.0
24286,2019,Spanish Grand Prix,Vettel,Ferrari,3,4,20.15,54.72,0.0
24287,2019,Spanish Grand Prix,Leclerc,Ferrari,5,5,20.15,54.72,0.0
24288,2019,Spanish Grand Prix,Gasly,Red Bull,6,6,20.15,54.72,0.0
24289,2019,Spanish Grand Prix,Magnussen,Haas F1 Team,8,7,20.15,54.72,0.0
24290,2019,Spanish Grand Prix,Sainz,McLaren,12,8,20.15,54.72,0.0
24291,2019,Spanish Grand Prix,Kvyat,Toro Rosso,9,9,20.15,54.72,0.0
24292,2019,Spanish Grand Prix,Grosjean,Haas F1 Team,7,10,20.15,54.72,0.0
24293,2019,Spanish Grand Prix,Albon,Toro Rosso,11,11,20.15,54.72,0.0
24294,2019,Spanish Grand Prix,Ricciardo,Renault,13,12,20.15,54.72,0.0
24295,2019,Spanish Grand Prix,Hülkenberg,Renault,0,13,20.15,54.72,0.0
24296,2019,Spanish Grand Prix,Räikkönen,Alfa Romeo,14,14,20.15,54.72,0.0
24297,2019,Spanish Grand Prix,Pérez,Racing Point,15,15,20.15,54.72,0.0
24298,2019,Spanish Grand Prix,Giovinazzi,Alfa Romeo,18,16,20.15,54.72,0.0
24306,2019,Monaco Grand Prix,Hamilton,Mercedes,1,1,22.75,52.7,0.63
24307,2019,Monaco Grand Prix,Vettel,Ferrari,4,2,22.75,52.7,0.63
24308,2019,Monaco Grand Prix,Bottas,Mercedes,2,3,22.75,52.7,0.63
24309,2019,Monaco Grand Prix,Verstappen,Red Bull,3,4,22.75,52.7,0.63
24310,2019,Monaco Grand Prix,Gasly,Red Bull,8,5,22.75,52.7,0.63
24311,2019,Monaco Grand Prix,Sainz,McLaren,9,6,22.75,52.7,0.63
24312,2019,Monaco Grand Prix,Kvyat,Toro Rosso,7,7,22.75,52.7,0.63
24313,2019,Monaco Grand Prix,Albon,Toro Rosso,10,8,22.75,52.7,0.63
24314,2019,Monaco Grand Prix,Ricciardo,Renault,6,9,22.75,52.7,0.63
24315,2019,Monaco Grand Prix,Grosjean,Haas F1 Team,13,10,22.75,52.7,0.63
24316,2019,Monaco Grand Prix,Norris,McLaren,12,11,22.75,52.7,0.63
24326,2019,Canadian Grand Prix,Hamilton,Mercedes,2,1,29.37,16.15,0.0
24327,2019,Canadian Grand Prix,Vettel,Ferrari,1,2,29.37,16.15,0.0
24328,2019,Canadian Grand Prix,Leclerc,Ferrari,3,3,29.37,16.15,0.0
24329,2019,Canadian Grand Prix,Bottas,Mercedes,6,4,29.37,16.15,0.0
24330,2019,Canadian Grand Prix,Verstappen,Red Bull,9,5,29.37,16.15,0.0
24346,2019,French Grand Prix,Hamilton,Mercedes,1,1,26.89,39.09,0.0
24347,2019,French Grand Prix,Bottas,Mercedes,2,2,26.89,39.09,0.0
24348,2019,French Grand Prix,Leclerc,Ferrari,3,3,26.89,39.09,0.0
24349,2019,French Grand Prix,Verstappen,Red Bull,4,4,26.89,39.09,0.0
24350,2019,French Grand Prix,Vettel,Ferrari,7,5,26.89,39.09,0.0
24351,2019,French Grand Prix,Sainz,McLaren,6,6,26.89,39.09,0.0
24366,2019,Austrian Grand Prix,Verstappen,Red Bull,2,1,34.44,17.97,0.0
24367,2019,Austrian Grand Prix,Leclerc,Ferrari,1,2,34.44,17.97,0.0
24368,2019,Austrian Grand Prix,Bottas,Mercedes,3,3,34.44,17.97,0.0
24369,2019,Austrian Grand Prix,Vettel,Ferrari,9,4,34.44,17.97,0.0
24370,2019,Austrian Grand Prix,Hamilton,Mercedes,4,5,34.44,17.97,0.0
24386,2019,British Grand Prix,Hamilton,Mercedes,2,1,18.91,62.14,0.0
24387,2019,British Grand Prix,Bottas,Mercedes,1,2,18.91,62.14,0.0
24388,2019,British Grand Prix,Leclerc,Ferrari,3,3,18.91,62.14,0.0
24389,2019,British Grand Prix,Gasly,Red Bull,5,4,18.91,62.14,0.0
24390,2019,British Grand Prix,Verstappen,Red Bull,4,5,18.91,62.14,0.0
24391,2019,British Grand Prix,Sainz,McLaren,13,6,18.91,62.14,0.0
24392,2019,British Grand Prix,Ricciardo,Renault,7,7,18.91,62.14,0.0
24393,2019,British Grand Prix,Räikkönen,Alfa Romeo,12,8,18.91,62.14,0.0
24394,2019,British Grand Prix,Kvyat,Toro Rosso,17,9,18.91,62.14,0.0
24395,2019,British Grand Prix,Hülkenberg,Renault,10,10,18.91,62.14,0.0
24396,2019,British Grand Prix,Norris,McLaren,8,11,18.91,62.14,0.0
24397,2019,British Grand Prix,Albon,Toro Rosso,9,12,18.91,62.14,0.0
24398,2019,British Grand Prix,Stroll,Racing Point,18,13,18.91,62.14,0.0
24406,2019,German Grand Prix,Verstappen,Red Bull,2,1,21.5,87.83,0.97
24407,2019,German Grand Prix,Vettel,Ferrari,20,2,21.5,87.83,0.97
24408,2019,German Grand Prix,Kvyat,Toro Rosso,14,3,21.5,87.83,0.97
24409,2019,German Grand Prix,Stroll,Racing Point,15,4,21.5,87.83,0.97
24410,2019,German Grand Prix,Sainz,McLaren,7,5,21.5,87.83,0.97
24411,2019,German Grand Prix,Albon,Toro Rosso,16,6,21.5,87.83,0.97
24412,2019,German Grand Prix,Grosjean,Haas F1 Team,6,7,21.5,87.83,0.97
